month_num,category_name,total_quantity,net_revenue_usd
1,Confections,2637426,132815141.64
1,Meat,2310565,117126752.39
1,Poultry,2183304,104779706.31
1,Cereals,2072097,101202044.32
1,Snails,1721090,88950227.96
1,Produce,1984275,87453191.88
1,Beverages,1755510,87044892.29
1,Dairy,1617127,84041019.19
1,Seafood,1664344,78656103.37
1,Grain,1296650,77379039.98
1,Shell fish,1658066,71287777.66
2,Confections,2375088,119022995.2
2,Meat,2082289,105350958.73
2,Poultry,1960691,94272649.27
2,Cereals,1877118,91660789.56
2,Snails,1545486,79984136.47
2,Produce,1797381,78989326.02
2,Beverages,1590365,78851074.55
2,Dairy,1465533,76122994.87
2,Seafood,1503033,71061573.48
2,Grain,1167835,69764752.6
2,Shell fish,1498024,64122966.72
3,Confections,2633082,132593219.49
3,Meat,2311266,117513943.47
3,Poultry,2179738,104739610.64
3,Cereals,2081969,102170027.87
3,Snails,1711952,88317115.21
3,Produce,1998625,87914184.42
3,Beverages,1762618,87405642.15
3,Dairy,1623237,84391018.5
3,Seafood,1660370,78516319.27
3,Grain,1296163,76999348.14
3,Shell fish,1671925,71640346.6
4,Confections,2549722,128067528.89
4,Meat,2243250,113668025.67
4,Poultry,2113211,101459715.66
4,Cereals,2006212,98297573.41
4,Snails,1658518,85700809.38
4,Produce,1926980,84760157.96
4,Beverages,1699758,84170286.45
4,Dairy,1569979,81779414.96
4,Seafood,1613725,76149653.28
4,Grain,1242759,74125696.23
4,Shell fish,1605352,69089639.16
5,Confections,771959,38865310.55
5,Meat,674259,34267238.1
5,Poultry,634535,30570020.35
5,Cereals,609942,29794319.91
5,Beverages,511804,25415764.67
5,Produce,576329,25399161.68
5,Snails,491024,25391437.74
5,Dairy,469835,24415222.77
5,Seafood,484340,22815167.27
5,Grain,375177,22357977.62
5,Shell fish,480635,20540815.26
